date,calendar_type,event_name,is_working_day
2036-08-04,Canada,Civic Holiday,1
2036-09-01,Canada,Labour Day,1
2036-09-01,Company,Labor Day,0
2036-09-01,US,Labor Day,1
2036-09-30,Canada,National Day for Truth and Reconciliation,1
2036-10-13,Canada,Canadian Thanksgiving,1
2036-11-27,Company,Thanksgiving,0
2036-11-27,US,Thanksgiving,1
2036-11-28,Company,Day after Thanksgiving,0
2036-11-28,US,Day after Thanksgiving,1
2036-12-25,Canada,Christmas Day,1
2036-12-25,Company,Christmas Day,0
2036-12-25,US,Christmas Day,1
2036-12-26,Canada,Boxing Day,1
