date,calendar_type,event_name,is_working_day
2025-12-25,US,Christmas Day,1
2025-12-26,Canada,Boxing Day,1
2026-01-01,Canada,New Year's Day,1
2026-01-01,Company,New Year's Day,0
2026-01-01,US,New Year's Day,1
2026-01-19,US,MLK Day,1
2026-02-16,US,Presidents' Day,1
2026-04-03,Canada,Good Friday,1
2026-05-18,Canada,Victoria Day,1
2026-05-25,Company,Memorial Day,0
2026-05-25,US,Memorial Day,1
2026-06-19,US,Juneteenth,1
2026-07-01,Canada,Canada Day,1
2026-07-03,Company,Independence Day (Observed),0
2026-07-04,US,Independence Day,1
2026-08-03,Canada,Civic Holiday,1
